musteri_id,yas,kategori,fiyat,miktar,harcama
1044,21.0,Giyim,3573.06,1,3573.06
1045,42.0,Kozmetik,2415.01,1,2415.01
1046,31.0,Elektronik,2748.5,1,2748.5
1047,26.0,Ev & Yaşam,3177.77,1,3177.77
1048,43.0,Elektronik,2043.92,1,2043.92
1049,19.0,Elektronik,438.99,5,2194.95
1050,37.0,Giyim,2194.72,3,6584.16
1051,45.0,Giyim,2388.68,2,4777.36
1052,64.0,Ev & Yaşam,3007.21,1,3007.21
1053,24.0,Ev & Yaşam,1783.47,3,5350.41
1054,61.0,Kitap,597.56,3,1792.6799999999998
1055,25.0,Giyim,1206.73,2,2413.46
1056,64.0,Giyim,1516.02,5,7580.1
1057,52.0,Kozmetik,2619.08,4,10476.32
1058,31.0,Elektronik,2326.04,4,9304.16
1059,34.0,Giyim,1488.78,3,4466.34
1060,53.0,Elektronik,3947.41,2,7894.82
1061,57.0,Elektronik,2462.52,4,9850.08
1062,21.0,Kitap,1025.18,3,3075.54
1063,19.0,Kozmetik,496.95,5,2484.75
1064,23.0,Ev & Yaşam,696.15,4,2784.6
1065,59.0,Giyim,1059.24,3,3177.7200000000003
1066,21.0,Elektronik,726.66,3,2179.98
1067,46.0,Elektronik,827.61,1,827.61
1068,35.0,Elektronik,1211.87,5,6059.349999999999
1069,43.0,Giyim,776.16,1,776.16
1070,61.0,Ev & Yaşam,3597.39,2,7194.78
1071,,Ev & Yaşam,412.91,1,412.91
1072,27.0,Elektronik,2145.59,1,2145.59
1073,53.0,Kitap,1700.55,4,6802.2
1074,31.0,Ev & Yaşam,3931.28,3,11793.84
1075,48.0,Ev & Yaşam,536.95,5,2684.75
1076,32.0,Ev & Yaşam,1651.64,1,1651.64
1077,25.0,Giyim,3880.93,5,19404.649999999998
1078,31.0,Elektronik,3475.48,1,3475.48
1079,40.0,Giyim,3286.58,2,6573.16
1080,57.0,Kozmetik,1105.82,1,1105.82
1081,38.0,Elektronik,766.46,4,3065.84
1082,33.0,Elektronik,2707.71,3,8123.13
1083,62.0,Elektronik,3724.57,2,7449.14
1084,35.0,Elektronik,2271.38,1,2271.38
1085,64.0,Kozmetik,2329.29,5,11646.45
1086,41.0,Ev & Yaşam,1191.92,2,2383.84
1087,43.0,Giyim,3101.02,2,6202.04
1088,42.0,Elektronik,829.47,1,829.47
1089,62.0,Giyim,1362.35,2,2724.7
1090,58.0,Giyim,1759.2,5,8796.0
1091,46.0,Elektronik,2079.68,2,4159.36
1092,32.0,Giyim,1045.4,5,5227.0
1093,62.0,Giyim,547.86,1,547.86
1094,18.0,Ev & Yaşam,2481.42,3,7444.26
1095,42.0,Ev & Yaşam,1225.66,2,2451.32
1096,24.0,Elektronik,2366.83,3,7100.49
1097,26.0,Giyim,702.01,5,3510.05
1098,41.0,Ev & Yaşam,1976.45,2,3952.9
1099,18.0,Giyim,2177.1,4,8708.4
1100,61.0,Kozmetik,302.11,3,906.33
1101,25.0,Ev & Yaşam,1412.76,2,2825.52
1102,41.0,Elektronik,624.22,3,1872.66
1103,28.0,Elektronik,347.16,2,694.32
1104,34.0,Ev & Yaşam,3960.84,1,3960.84
1105,25.0,Elektronik,1357.18,3,4071.54
1106,52.0,Ev & Yaşam,3258.51,4,13034.04
1107,52.0,Kitap,1093.1,4,4372.4
1108,50.0,Ev & Yaşam,2757.86,5,13789.300000000001
1109,22.0,Giyim,3064.89,2,6129.78
1110,59.0,Ev & Yaşam,2422.99,3,7268.969999999999
1111,56.0,Giyim,1939.15,5,9695.75
1112,58.0,Giyim,1706.18,3,5118.54
1113,45.0,Kitap,1460.59,2,2921.18
1114,24.0,Giyim,3725.16,4,14900.64
1115,26.0,Kitap,3339.42,1,3339.42
1116,25.0,Kitap,3863.6,4,15454.4
1117,29.0,Elektronik,584.76,5,2923.8
1118,51.0,Elektronik,2950.38,1,2950.38
1119,50.0,Elektronik,3759.53,5,18797.65
1120,,Elektronik,806.81,2,1613.62
1121,41.0,Elektronik,359.34,1,359.34
1122,54.0,Ev & Yaşam,2990.37,5,14951.849999999999
1123,52.0,Elektronik,2340.45,2,4680.9
1124,61.0,Giyim,3383.13,4,13532.52
1125,57.0,Kozmetik,645.11,2,1290.22
1126,39.0,Elektronik,3201.54,3,9604.619999999999
1127,44.0,Kozmetik,886.35,2,1772.7
1128,52.0,Elektronik,738.26,2,1476.52
1129,18.0,Elektronik,740.64,3,2221.92
1130,52.0,Ev & Yaşam,3276.84,5,16384.2
1131,54.0,Ev & Yaşam,2694.27,5,13471.35
1132,64.0,Kozmetik,2139.96,2,4279.92
1133,31.0,Ev & Yaşam,1499.44,3,4498.32
1134,20.0,Kozmetik,3521.08,3,10563.24
1135,18.0,Elektronik,1630.54,4,6522.16
1136,22.0,Elektronik,3284.74,5,16423.699999999997
1137,43.0,Kozmetik,1812.63,1,1812.63
1138,31.0,Kozmetik,1570.08,5,7850.4
1139,56.0,Kitap,1904.45,5,9522.25
1140,44.0,Giyim,1275.37,4,5101.48
1141,26.0,Giyim,3015.68,1,3015.68
1142,32.0,Kozmetik,2060.61,4,8242.44
1143,32.0,Giyim,1005.63,1,1005.63
1144,43.0,Kitap,3608.34,2,7216.68
1145,59.0,Kozmetik,1597.18,1,1597.18
1146,30.0,Giyim,2219.86,4,8879.44
1147,49.0,Kozmetik,3635.24,5,18176.199999999997
1148,56.0,Kozmetik,2534.53,1,2534.53
1149,49.0,Elektronik,555.9,1,555.9
1150,21.0,Kitap,3765.35,3,11296.05
1151,47.0,Giyim,2548.06,5,12740.3
1152,54.0,Kozmetik,1406.13,2,2812.26
1153,40.0,Giyim,643.16,4,2572.64
1154,56.0,Kozmetik,3196.7,2,6393.4
1155,62.0,Giyim,2518.28,5,12591.400000000001
1156,32.0,Elektronik,2180.5,1,2180.5
1157,60.0,Kitap,3586.18,1,3586.18
1158,46.0,Elektronik,3175.53,5,15877.650000000001
1159,53.0,Giyim,691.53,1,691.53
1160,30.0,Kitap,1315.72,1,1315.72
1161,49.0,Kitap,1069.11,1,1069.11
1162,24.0,Ev & Yaşam,3001.39,4,12005.56
1163,39.0,Ev & Yaşam,230.78,4,923.12
1164,45.0,Giyim,2322.57,3,6967.710000000001
1165,19.0,Elektronik,3073.59,2,6147.18
1166,59.0,Giyim,3519.39,5,17596.95
1167,62.0,Ev & Yaşam,1434.12,5,7170.599999999999
1168,23.0,Kozmetik,3302.9,5,16514.5
1169,45.0,Kozmetik,531.46,3,1594.38
1170,45.0,Kozmetik,3401.16,4,13604.64
1171,61.0,Elektronik,597.21,3,1791.63
1172,61.0,Giyim,1649.42,5,8247.1
1173,37.0,Elektronik,3209.45,2,6418.9
1174,47.0,Giyim,684.68,1,684.68
1175,28.0,Giyim,994.08,4,3976.32
1176,45.0,Kozmetik,2916.79,4,11667.16
1177,42.0,Giyim,2908.14,3,8724.42
1178,56.0,Elektronik,2600.48,4,10401.92
1179,50.0,Elektronik,2806.4,5,14032.0
1180,18.0,Kozmetik,2216.63,5,11083.150000000001
1181,44.0,Ev & Yaşam,1082.02,3,3246.06
1182,30.0,Elektronik,1448.21,5,7241.05
1183,58.0,Elektronik,808.23,2,1616.46
1184,20.0,Ev & Yaşam,3642.96,3,10928.880000000001
1185,56.0,Elektronik,2375.23,2,4750.46
1186,23.0,Kozmetik,1663.32,1,1663.32
1187,25.0,Ev & Yaşam,1901.82,2,3803.64
1188,44.0,Elektronik,3794.41,1,3794.41
1189,26.0,Elektronik,698.07,1,698.07
1190,54.0,Kitap,2386.3,2,4772.6
1191,50.0,Giyim,2072.97,3,6218.91
1192,59.0,Giyim,2484.67,5,12423.35
1193,61.0,Kozmetik,170.63,5,853.15
1194,41.0,Kitap,3501.28,1,3501.28
1195,32.0,Kitap,3735.26,1,3735.26
1196,49.0,Kozmetik,2304.02,3,6912.0599999999995
1197,49.0,Giyim,2816.94,4,11267.76
1198,41.0,Elektronik,3697.75,2,7395.5
1199,58.0,Kozmetik,2858.23,1,2858.23
1200,29.0,Ev & Yaşam,694.9,5,3474.5
1201,56.0,Giyim,2347.52,3,7042.5599999999995
1202,19.0,Kitap,2466.19,2,4932.38
1203,20.0,Elektronik,1754.11,3,5262.33
1204,54.0,Giyim,2972.13,2,5944.26
1205,34.0,Elektronik,3744.03,2,7488.06
1206,19.0,Giyim,3709.72,1,3709.72
1207,19.0,Elektronik,1858.27,3,5574.8099999999995
1208,45.0,Elektronik,541.63,3,1624.8899999999999
1209,40.0,Elektronik,3940.88,5,19704.4
1210,54.0,Ev & Yaşam,3371.7,5,16858.5
1211,49.0,Ev & Yaşam,586.18,1,586.18
1212,50.0,Ev & Yaşam,3691.28,1,3691.28
1213,18.0,Kitap,3492.6,4,13970.4
1214,36.0,Giyim,2123.47,5,10617.349999999999
1215,19.0,Elektronik,2405.97,2,4811.94
1216,61.0,Kozmetik,1656.11,3,4968.33
1217,43.0,Elektronik,313.57,1,313.57
1218,49.0,Kitap,1407.27,3,4221.8099999999995
1219,23.0,Elektronik,3231.13,3,9693.39
1220,49.0,Kitap,118.06,4,472.24
1221,21.0,Elektronik,1400.65,5,7003.25
1222,28.0,Kozmetik,1652.86,1,1652.86
1223,34.0,Giyim,2195.84,3,6587.52
1224,55.0,Kitap,3687.44,1,3687.44
1225,41.0,Elektronik,1450.75,2,2901.5
1226,22.0,Ev & Yaşam,1453.12,4,5812.48
1227,51.0,Kitap,2976.25,2,5952.5
1228,23.0,Giyim,1863.65,1,1863.65
1229,39.0,Ev & Yaşam,975.96,1,975.96
1230,,Ev & Yaşam,1864.51,5,9322.55
1231,,Giyim,649.34,3,1948.02
1232,50.0,Ev & Yaşam,787.91,3,2363.73
1233,26.0,Ev & Yaşam,2043.63,2,4087.26
1234,23.0,Kitap,1733.81,4,6935.24
1235,33.0,Elektronik,3667.9,3,11003.7
1236,46.0,Elektronik,1513.34,5,7566.7
1237,20.0,Kitap,2364.29,2,4728.58
1238,37.0,Kozmetik,2565.83,2,5131.66
1239,53.0,Giyim,151.07,5,755.3499999999999
1240,36.0,Ev & Yaşam,2687.8,4,10751.2
1241,43.0,Elektronik,794.34,5,3971.7000000000003
1242,20.0,Elektronik,3848.17,4,15392.68
1243,36.0,Giyim,679.78,5,3398.8999999999996
1244,37.0,Giyim,1717.03,5,8585.15
1245,49.0,Ev & Yaşam,432.86,1,432.86
1246,24.0,Elektronik,3987.81,2,7975.62
1247,58.0,Kitap,2058.56,5,10292.8
1248,50.0,Kitap,2422.0,5,12110.0
1249,57.0,Ev & Yaşam,361.6,3,1084.8000000000002
1250,56.0,Giyim,3024.85,2,6049.7
1251,35.0,Giyim,918.63,3,2755.89
1252,57.0,Kozmetik,3602.41,2,7204.82
1253,18.0,Ev & Yaşam,900.04,3,2700.12
1254,28.0,Elektronik,843.68,5,4218.4
1255,45.0,Kitap,242.54,5,1212.7
1256,42.0,Kozmetik,1941.06,1,1941.06
1257,40.0,Kitap,2302.88,3,6908.64
1258,48.0,Ev & Yaşam,356.26,4,1425.04
1259,47.0,Ev & Yaşam,3124.56,1,3124.56
1260,59.0,Giyim,1867.83,3,5603.49
1261,52.0,Kitap,2145.12,3,6435.36
1262,24.0,Kozmetik,1818.97,1,1818.97
1263,33.0,Elektronik,1662.98,5,8314.9
1264,43.0,Elektronik,2282.6,3,6847.799999999999
1265,19.0,Giyim,705.44,5,3527.2000000000003
1266,18.0,Kozmetik,809.52,1,809.52
1267,29.0,Kitap,3460.96,5,17304.8
1268,22.0,Elektronik,3789.85,2,7579.7
1269,54.0,Ev & Yaşam,1555.91,4,6223.64
1270,49.0,Giyim,1155.9,3,3467.7000000000003
1271,26.0,Kitap,2611.6,4,10446.4
1272,58.0,Kozmetik,1694.06,5,8470.3
1273,52.0,Kozmetik,199.01,3,597.03
1274,36.0,Giyim,709.0,5,3545.0
1275,33.0,Giyim,2892.29,2,5784.58
1276,20.0,Elektronik,2669.8,1,2669.8
1277,37.0,Elektronik,205.67,3,617.01
1278,41.0,Kozmetik,965.69,2,1931.38
1279,50.0,Kozmetik,1001.19,2,2002.38
1280,41.0,Kitap,2720.38,3,8161.14
1281,28.0,Kitap,176.87,5,884.35
1282,25.0,Ev & Yaşam,506.02,2,1012.04
1283,53.0,Kozmetik,3219.67,4,12878.68
1284,55.0,Kitap,796.32,2,1592.64
1285,57.0,Kozmetik,2645.71,5,13228.55
1286,37.0,Elektronik,1028.91,5,5144.55
1287,52.0,Giyim,487.82,4,1951.28
1288,42.0,Elektronik,1048.37,2,2096.74
1289,52.0,Kitap,2916.84,5,14584.2
1290,42.0,Ev & Yaşam,3437.22,3,10311.66
1291,46.0,Elektronik,3337.86,1,3337.86
1292,35.0,Ev & Yaşam,1649.02,1,1649.02
1293,63.0,Ev & Yaşam,2705.53,1,2705.53
1294,35.0,Giyim,899.44,2,1798.88
1295,19.0,Elektronik,1243.28,4,4973.12
1296,52.0,Ev & Yaşam,3595.71,5,17978.55
1297,33.0,Giyim,150.71,3,452.13
1298,58.0,Kozmetik,433.48,3,1300.44
1299,53.0,Giyim,910.76,2,1821.52
1300,,Kozmetik,203.48,1,203.48
1301,21.0,Ev & Yaşam,807.6,2,1615.2
1302,50.0,Ev & Yaşam,2373.86,4,9495.44
1303,31.0,Kozmetik,1743.56,4,6974.24
1304,38.0,Giyim,3581.42,5,17907.1
1305,37.0,Elektronik,3288.03,5,16440.15
1306,25.0,Elektronik,1433.09,4,5732.36
1307,24.0,Kozmetik,1111.75,4,4447.0
1308,20.0,Ev & Yaşam,1580.8,4,6323.2
1309,34.0,Ev & Yaşam,2402.15,2,4804.3
1310,50.0,Elektronik,1145.45,4,4581.8
1311,29.0,Elektronik,2534.18,3,7602.539999999999
1312,39.0,Elektronik,1696.71,1,1696.71
1313,39.0,Giyim,2252.98,4,9011.92
1314,63.0,Ev & Yaşam,1800.89,1,1800.89
1315,47.0,Giyim,1248.42,2,2496.84
1316,55.0,Giyim,3798.97,1,3798.97
1317,55.0,Kitap,3078.06,2,6156.12
1318,62.0,Giyim,646.44,3,1939.3200000000002
1319,25.0,Giyim,3487.03,2,6974.06
1320,44.0,Kozmetik,2000.98,2,4001.96
1321,44.0,Giyim,3588.75,5,17943.75
1322,51.0,Ev & Yaşam,3219.44,4,12877.76
1323,38.0,Kozmetik,1758.33,4,7033.32
1324,47.0,Kitap,187.63,3,562.89
1325,50.0,Elektronik,1147.84,3,3443.5199999999995
1326,45.0,Kitap,2212.37,4,8849.48
1327,64.0,Giyim,2570.57,5,12852.85
1328,50.0,Elektronik,1105.76,4,4423.04
1329,22.0,Giyim,643.49,5,3217.45
1330,36.0,Kitap,3356.23,3,10068.69
1331,21.0,Giyim,3939.17,1,3939.17
1332,52.0,Giyim,2150.19,3,6450.57
1333,34.0,Ev & Yaşam,769.55,3,2308.6499999999996
1334,61.0,Elektronik,1162.0,2,2324.0
1335,45.0,Elektronik,171.72,2,343.44
1336,47.0,Elektronik,3665.77,2,7331.54
1337,46.0,Elektronik,559.23,2,1118.46
1338,63.0,Elektronik,2348.41,5,11742.05
1339,23.0,Elektronik,1168.82,4,4675.28
1340,52.0,Ev & Yaşam,2261.29,1,2261.29
1341,58.0,Elektronik,2640.54,3,7921.62
1342,54.0,Giyim,3335.99,5,16679.949999999997
1343,41.0,Kozmetik,905.04,1,905.04
1344,46.0,Giyim,142.88,5,714.4
1345,63.0,Ev & Yaşam,633.85,5,3169.25
1346,48.0,Elektronik,3610.07,3,10830.210000000001
1347,52.0,Elektronik,3508.17,4,14032.68
1348,50.0,Elektronik,2429.91,2,4859.82
1349,38.0,Elektronik,2442.02,4,9768.08
1350,49.0,Elektronik,2693.64,3,8080.92
